City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Polignano A Mare,IT,77.72,clear sky,40.9959,17.2159,Grotta Palazzese
2,Saint-Philippe,RE,71.11,scattered clouds,-21.3585,55.7679,Le four à pain
3,Shetpe,KZ,76.37,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
11,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
20,Saint-Joseph,RE,70.11,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
21,Harper,LR,75.07,overcast clouds,4.375,-7.7169,Screensaver
22,Albany,US,74.05,clear sky,42.6001,-73.9662,
30,Hobyo,SO,74.95,broken clouds,5.3505,48.5268,Iftin hotel hobyo
33,Welwyn Garden City,GB,70.25,scattered clouds,51.8017,-0.2069,Premier Inn Welwyn Garden City hotel
35,Alyangula,AU,76.93,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
38,Ribeira Grande,PT,73.9,few clouds,38.5167,-28.7,Quinta da Meia Eira
42,Rikitea,PF,72.7,clear sky,-23.1203,-134.9692,People ThankYou
44,Atuona,PF,76.95,few clouds,-9.8,-139.0333,Villa Enata
49,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
50,Fengzhen,CN,75.11,clear sky,40.4394,113.1536,Feng Zhen Hotel
55,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
56,Boa Vista,BR,76.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
63,Muros,ES,70.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
67,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Meulaboh,ID,78.33,broken clouds,4.1363,96.1285,Kost Pria
72,Matam,SN,75.2,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
80,College,US,77.0,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
81,Itumbiara,BR,71.06,clear sky,-18.4192,-49.2153,Itumbiara Palace Hotel
85,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
88,Amguri,IN,79.52,overcast clouds,26.8,94.5333,কণভাই দোকান
90,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Asfi,MA,74.44,clear sky,32.2994,-9.2372,Hôtel Abda
97,Saint-Pierre,RE,71.19,few clouds,-21.3393,55.4781,Alize Plage
104,Sao Filipe,CV,77.68,overcast clouds,14.8961,-24.4956,Hotel Xaguate
106,Udachnyy,RU,72.1,broken clouds,66.4167,112.4,Severnoye Siyaniye
108,Fairbanks,US,77.02,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
109,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
113,Baglung,NP,71.56,overcast clouds,28.2719,83.5898,Hotel Peace Palace
130,Cascais,PT,78.51,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
140,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
142,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
144,Ponta Do Sol,PT,73.0,clear sky,32.6667,-17.1,Hotel do Campo
149,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
156,Faanui,PF,79.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Khasan,RU,75.65,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
167,Lagoa,PT,72.59,clear sky,39.05,-27.9833,Casa Das Faias
168,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
170,Erzin,TR,73.35,clear sky,36.9559,36.2,Artemis Otel
173,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
176,Marawi,PH,75.15,overcast clouds,7.9986,124.2928,Derogongan Residence
178,Aksarayskiy,RU,76.84,clear sky,46.7924,48.0119,
179,Huanan,CN,79.3,overcast clouds,46.2167,130.5167,Xilong Hotel
182,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
183,Saposoa,PE,73.38,few clouds,-6.934,-76.7716,Hostal Primavera
185,Salinopolis,BR,78.6,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
187,Kaele,CM,71.24,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
188,Whitehorse,CA,73.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
198,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
201,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
202,Mandalgovi,MN,73.02,overcast clouds,45.7625,106.2708,В.Ганбат
203,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
205,Dzhebariki-Khaya,RU,75.97,overcast clouds,62.2167,135.8,
208,Lodja,CD,73.65,scattered clouds,-3.4833,23.4333,
211,Dandong,CN,76.73,overcast clouds,40.1292,124.3947,Yiranju Farmstay
213,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Chicontepec,MX,71.47,overcast clouds,20.9667,-98.1667,HOTEL LA GLORIETA
215,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
219,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
222,Varkkallai,IN,76.78,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
223,Bawku,GH,79.09,overcast clouds,11.0616,-0.2417,Ultimate Guest House
228,Zhanakorgan,KZ,71.56,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
229,Zabol,AF,73.42,clear sky,32.25,67.25,
239,Sao Geraldo Do Araguaia,BR,78.93,clear sky,-6.4006,-48.555,Hotel Por do Sol
252,Manacapuru,BR,77.0,scattered clouds,-3.2997,-60.6206,Novo Hotel
253,Goroka,PG,76.06,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
254,Mareeba,AU,73.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
255,Eyl,SO,75.2,overcast clouds,7.9803,49.8164,Amiin Hotel
257,Tevaitoa,PF,78.82,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
258,Zhigansk,RU,71.51,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
263,Sukhumi,GE,71.22,broken clouds,43.0033,41.0153,Leon Boutique Hotel
264,Griffith,US,78.89,clear sky,41.5284,-87.4237,Apartment above Depot Bar
265,Bonthe,SL,75.49,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
267,Bontang,ID,75.33,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
281,Boende,CD,72.05,overcast clouds,-0.2167,20.8667,
282,Felipe Carrillo Puerto,MX,77.22,overcast clouds,19.5833,-88.05,Hotel La Ceiba
284,Lata,PT,70.11,clear sky,40.1629,-8.3327,Casa Maquia
292,Anloga,GH,74.64,overcast clouds,5.7947,0.8973,Pin Drop Hotel
295,Pingliang,CN,73.58,few clouds,35.5392,106.6861,North Gate Hostel
300,Omboue,GA,72.05,scattered clouds,-1.5746,9.2618,Hotel Olako
311,Bolobo,CD,77.22,clear sky,-2.1667,16.2333,Hotel de Stephen
313,Along,IN,76.42,overcast clouds,28.1667,94.7667,Hotel West
314,Sinnamary,GF,78.06,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
315,Port Hardy,CA,77.18,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
316,Malandag,PH,76.44,overcast clouds,6.3094,125.2428,Princess
319,Fortuna,US,71.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
323,Verkhnevilyuysk,RU,72.93,clear sky,63.4453,120.3167,Gostinitsa Mila
325,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
326,Mitu,CO,71.06,overcast clouds,1.1983,-70.1733,
330,Buchanan,LR,74.35,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
335,Carutapera,BR,76.64,scattered clouds,-1.195,-46.02,Lidera
337,Marhaura,IN,78.73,light rain,25.9667,84.8667,Mishti Polutry Farm
339,Port-Gentil,GA,73.85,few clouds,-0.7193,8.7815,Fengshui Residence
340,Zhangye,CN,78.26,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
345,Ajaccio,FR,71.65,clear sky,42.0,8.9167,Sole E Monte
346,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Bandarbeyla,SO,75.6,broken clouds,9.4942,50.8122,JABIR HOTEL
353,Shache,CN,72.72,overcast clouds,38.4167,77.2406,Delong Hotel
355,Nova Russas,BR,74.97,overcast clouds,-4.7067,-40.5631,palace motel
358,Annau,TM,78.3,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
362,Lishu,CN,79.83,clear sky,43.3047,124.3278,Su Camp Business Hotel
363,Khash,IR,76.89,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
368,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
372,Payo,ID,74.48,overcast clouds,-3.7508,103.6372,Mess keban agung
375,Chazuta,PE,79.65,few clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
378,Baykit,RU,71.76,clear sky,61.67,96.37,
386,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
