City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ayan,RU,56.45,138.1667,59.05,89,70,8.59,broken clouds
1,Polignano A Mare,IT,40.9959,17.2159,77.72,75,0,13.73,clear sky
2,Saint-Philippe,RE,-21.3585,55.7679,71.11,77,42,13.76,scattered clouds
3,Shetpe,KZ,44.1667,52.1167,76.37,67,0,5.59,clear sky
4,East London,ZA,-33.0153,27.9116,57.24,63,19,14.29,few clouds
5,Kapaa,US,22.0752,-159.319,84.52,70,20,12.66,few clouds
6,Norman Wells,CA,65.282,-126.8329,68.04,42,40,11.5,scattered clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,53.1,85,0,10.0,clear sky
8,Busselton,AU,-33.65,115.3333,56.14,70,79,10.58,broken clouds
9,Dingle,PH,10.9995,122.6711,81.91,82,100,5.73,overcast clouds
10,Port Elizabeth,ZA,-33.918,25.5701,52.09,80,0,14.97,clear sky
11,Hamilton,US,39.1834,-84.5333,76.05,66,0,5.75,clear sky
12,Yulara,AU,-25.2406,130.9889,63.59,49,14,14.03,few clouds
13,Avera,US,33.194,-82.5271,80.55,64,39,8.68,scattered clouds
14,Buique,BR,-8.6231,-37.1558,65.3,95,98,3.6,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,50.18,79,3,5.01,clear sky
16,Ibra,OM,22.6906,58.5334,80.19,65,91,4.97,overcast clouds
17,Puro,PH,12.4841,123.3827,84.09,74,97,12.08,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,61,40,13.8,scattered clouds
19,Westport,US,41.1415,-73.3579,82.44,57,0,8.05,clear sky
20,Saint-Joseph,RE,-21.3667,55.6167,70.11,76,37,13.13,scattered clouds
21,Harper,LR,4.375,-7.7169,75.07,81,100,7.85,overcast clouds
22,Albany,US,42.6001,-73.9662,74.05,63,0,8.39,clear sky
23,Hithadhoo,MV,-0.6,73.0833,80.37,75,100,15.23,moderate rain
24,Saldanha,ZA,-33.0117,17.9442,41.05,77,10,9.28,clear sky
25,Casambalangan,PH,18.3765,122.1274,85.66,70,98,2.24,overcast clouds
26,Hilo,US,19.7297,-155.09,88.29,81,75,10.36,broken clouds
